MNG,AMP10_SIR,RES,,,AMC30_SIR,RES,,,CRO30_SIR,RES,,,CAZ30_SIR,RES,,,CTX30_SIR,RES,,,FEP30_SIR,RES,,,TZP110_SIR,RES,,,MEM10_SIR,RES,,,F100_SIR,N/A,,W5_SIR,RES,,,CN10_SIR,RES,,,CIP_SIR,RES,,,TET30_SIR,RES,,,AK30_SIR,RES,
38137,R,R,R0,,R,R,R0,,R,R,R0,,S,R,1,,R,R,R0,,R,R,R0,,S,R,1,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,R,R,R0,,R,R,R0,,S,R,1
38139,R,R,R0,,S,S,S0,,R,S,2,,R,S,2,,R,S,2,,S,S,S0,,S,S,S0,,R,S,2,,S,,,R,R,R0,,R,S,2,,S,S,S0,,R,R,R0,,R,S,2
38144,R,R,R0,,R,S,2,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,R,R,R0,,R,R,R0,,S,S,S0
38148,R,R,R0,,S,R,1,,R,S,2,,S,S,S0,,R,S,2,,R,R,R0,,S,R,1,,S,S,S0,,S,,,S,S,S0,,R,R,R0,,R,R,R0,,R,R,R0,,S,R,1
38149,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,S,S0,,R,R,R0,,S,S,S0
38152,R,R,R0,,S,S,S0,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,R,1,,R,R,R0,,S,S,S0
38154,R,R,R0,,R,S,2,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,R,S,2,,S,,,R,R,R0,,S,S,S0,,S,S,S0,,R,S,2,,S,S,S0
38155,S,R,1,,S,R,1,,R,R,R0,,S,R,1,,S,R,1,,S,R,1,,S,R,1,,S,S,S0,,S,,,S,R,1,,S,S,S0,,R,R,R0,,S,R,1,,S,R,1
38167,R,R,R0,,R,S,2,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,S,S0,,R,R,R0,,S,S,S0
38168,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,R,R,R0,,R,R,R0,,R,S,2
38170,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,S,S,S0,,S,S,S0,,S,S,S0,,R,R,R0,,S,S,S0
38190,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,R,1,,R,S,2,,S,S,S0
38208,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,R,S,2,,R,S,2,,S,S,S0,,R,S,2,,S,,,R,R,R0,,S,S,S0,,NA,R,4,,R,R,R0,,S,S,S0
38220,S,R,1,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,S,S0,,S,R,1,,S,S,S0
38225,R,R,R0,,S,S,S0,,R,S,2,,R,S,2,,R,S,2,,R,S,2,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,R,S,2,,R,R,R0,,R,S,2,,S,S,S0
38241,R,R,R0,,S,S,S0,,R,S,2,,S,S,S0,,S,S,S0,,R,S,2,,S,S,S0,,R,S,2,,S,,,R,R,R0,,S,S,S0,,S,S,S0,,R,R,R0,,S,S,S0
38242,R,R,R0,,S,S,S0,,R,S,2,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,R,S,2,,S,,,R,R,R0,,S,S,S0,,S,S,S0,,R,R,R0,,R,S,2
38244,R,R,R0,,R,S,2,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,R,S,2,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,S,S0,,R,R,R0,,S,S,S0
38246,R,R,R0,,R,S,2,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,R,S,2,,S,S,S0,,S,,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,S,S,S0
38248,S,R,1,,S,R,1,,S,S,S0,,S,R,1,,S,R,1,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0
38251,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,R,S,2,,S,,,R,R,R0,,R,S,2,,R,R,R0,,R,R,R0,,R,R,R0
38254,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,R,1,,R,R,R0,,S,S,S0
